"QSI_TOWER","STRUCTURE","X","Y","Z1","Z2","H","LATITUDE","LONGITUDE","STR_GEOTAG","STR_TYPE"
"162","023/158A","6519043.216","1836519.521","61.775","130.81","69.04","38.20501983","-122.14832332","W12214832N3820501","Tangent"
"163","B019/137","6519474.11","1836514.316","59.05","141.44","82.39","38.20500745","-122.14682384","W12214682N3820500","Tangent"
"164","B019/136","6520274.981","1836514.252","51.134","132.97","81.84","38.2050108","-122.14403693","W12214403N3820501","Tangent"
"165","B019/135","6521006.437","1836514.29","45.313","126.67","81.36","38.20501406","-122.14149158","W12214149N3820501","Tangent"
"166","B019/134","6521808.01","1836513.991","36.977","118.27","81.29","38.20501663","-122.13870223","W12213870N3820501","Tangent"
"167","B019/133","6522207.411","1836513.241","33.634","112.86","79.23","38.20501624","-122.13731237","W12213731N3820501","Tangent"
"168","B019/132","6523008.338","1836512.792","26.551","108.23","81.68","38.20501829","-122.13452526","W12213452N3820501","Tangent"
"169","B019/131","6523809.137","1836512.433","20.028","100.0","79.97","38.20502053","-122.1317386","W12213173N3820502","Tangent"
"170","B019/130","6524610.059","1836512.187","16.837","95.05","78.21","38.20502301","-122.12895152","W12212895N3820502","Tangent"
"171","B018/129","6525333.603","1836511.519","12.423","100.62","88.2","38.20502397","-122.12643369","W12212643N3820502","Tangent"
"172","B018/129A","6525863.432","1836511.446","10.746","87.2","76.45","38.20502577","-122.12458997","W12212458N3820502","Tangent"
"173","B018/128","6526410.03","1836511.941","8.932","96.62","87.69","38.20502917","-122.12268789","W12212268N3820502","Dead End"
"174","B018/127","6526900.708","1837129.708","4.334","88.75","84.42","38.20672728","-122.12098327","W12212098N3820672","Tangent"
"175","B018/126","6527401.548","1837760.77","3.954","88.12","84.17","38.2084619","-122.11924326","W12211924N3820846","Tangent"
"176","B018/125","6527895.063","1838382.527","5.498","88.98","83.48","38.21017092","-122.11752862","W12211752N3821017","Tangent"
"177","B018/124","6528388.461","1839004.272","43.141","125.82","82.68","38.21187988","-122.1158143","W12211581N3821187","Tangent"
"178","B018/123","6529135.301","1839946.04","48.789","131.79","83.0","38.21446842","-122.11321925","W12211321N3821446","Dead End"
"179","B017/122","6529266.677","1840338.831","89.84","171.88","82.04","38.21554742","-122.11276371","W12211276N3821554","Dead End"
"180","017/122","6529357.511","1840610.851","78.37","161.94","83.57","38.21629466","-122.11244875","W12211244N3821629","Dead End"
"181","HIGHWAY_SUB","6488767.839","1822555.67","48.656","98.42","49.76","38.16649346","-122.25354116","W12225354N3816649","Dead End"
"182","017/122","6529660.252","1840511.219","38.069","127.33","89.26","38.21602211","-122.11139467","W12211139N3821602","Dead End"
"183","025/175","6529425.679","1840147.098","82.189","118.88","36.69","38.21502149","-122.11220951","W12211220N3821502","Dead End"
"184","017/125","6529377.152","1840154.438","82.145","171.33","89.19","38.21504148","-122.11237843","W12211237N3821504","Dead End"
"185","018/126","6529159.643","1839880.215","51.732","139.83","88.1","38.21428776","-122.11313425","W12211313N3821428","Tangent"
"186","018/127","6528435.023","1838967.318","49.853","137.89","88.04","38.21177857","-122.1156521","W12211565N3821177","Tangent"
"187","018/128","6527941.72","1838345.796","5.728","93.63","87.9","38.21007023","-122.11736608","W12211736N3821007","Tangent"
"188","018/129","6527448.266","1837723.735","3.762","92.42","88.66","38.20836037","-122.11908051","W12211908N3820836","Tangent"
