"QSI_TOWER","STRUCTURE","X","Y","Z1","Z2","H","LATITUDE","LONGITUDE","STR_GEOTAG","STR_TYPE"
"50","006/051","6430956.092","1816578.984","188.909","272.24","83.33","38.14946414","-122.45450308","W12245450N3814946","Tangent"
"51","007/052","6431813.212","1817223.332","127.466","210.27","82.8","38.15124513","-122.45153391","W12245153N3815124","Dead End"
"52","007/053","6432633.642","1817839.129","53.254","191.76","138.51","38.15294715","-122.44869168","W12244869N3815294","Tangent"
"53","007/054","6433373.247","1818394.004","-0.414","182.84","183.25","38.15448073","-122.44612934","W12244612N3815448","Tangent"
"54","007/055","6434383.075","1819152.504","0.058","87.73","87.67","38.15657698","-122.44263065","W12244263N3815657","Dead End"
"55","007/056","6435022.367","1819631.289","0.506","87.7","87.19","38.15790016","-122.4404156","W12244041N3815790","Dead End"
"56","007/057","6435656.133","1819568.682","0.683","88.16","87.48","38.15773667","-122.43821062","W12243821N3815773","Tangent"
"57","007/058","6436359.881","1819498.87","0.953","88.62","87.67","38.15755427","-122.43576216","W12243576N3815755","Tangent"
"58","008/059","6437056.64","1819429.622","0.893","87.83","86.94","38.15737328","-122.43333802","W12243333N3815737","Tangent"
"59","008/060","6437853.255","1819351.114","0.796","87.63","86.83","38.1571681","-122.4305665","W12243056N3815716","Tangent"
"60","008/061","6438650.089","1819272.618","-0.076","87.4","87.48","38.1569629","-122.42779423","W12242779N3815696","Dead End"
"61","008/062","6439446.508","1819193.301","-0.432","87.7","88.13","38.15675537","-122.42502341","W12242502N3815675","Tangent"
"62","008/063","6440243.204","1819114.22","0.635","87.64","87.0","38.15654843","-122.42225164","W12242225N3815654","Tangent"
"63","008/064","6441039.582","1819035.535","0.454","87.83","87.38","38.1563425","-122.419481","W12241948N3815634","Tangent"
"64","008/065","6441835.562","1818956.849","-1.008","87.99","89.0","38.1561365","-122.41671176","W12241671N3815613","Tangent"
"65","009/066","6442607.543","1818880.637","0.492","87.4","86.91","38.15593692","-122.41402604","W12241402N3815593","Dead End"
"66","009/067","6444064.866","1818690.68","7.153","259.81","252.66","38.15543346","-122.40895532","W12240895N3815543","Tangent"
"67","009/068","6445553.002","1818496.983","6.576","259.28","252.7","38.15491987","-122.40377746","W12240377N3815491","Tangent"
"68","009/069","6447060.675","1818300.647","3.652","88.55","84.9","38.15439905","-122.39853171","W12239853N3815439","Dead End"
"69","010/070","6447817.753","1818202.159","5.512","88.94","83.43","38.1541377","-122.39589758","W12239589N3815413","Tangent"
"70","010/071","6448574.505","1818103.505","5.085","88.75","83.67","38.15387584","-122.3932646","W12239326N3815387","Tangent"
"71","010/072","6449331.551","1818005.084","4.923","89.14","84.22","38.15361456","-122.39063063","W12239063N3815361","Tangent"
"72","010/073","6450088.837","1817906.391","4.848","88.98","84.13","38.15335247","-122.38799583","W12238799N3815335","Tangent"
"73","010/074","6450845.782","1817808.023","4.582","88.78","84.2","38.15309122","-122.38536224","W12238536N3815309","Tangent"
"74","010/075","6451602.6","1817709.831","4.792","89.17","84.38","38.15283038","-122.38272912","W12238272N3815283","Tangent"
"75","010/076","6452097.256","1817645.513","4.76","93.47","88.71","38.15265948","-122.38100812","W12238100N3815265","Dead End"
"76","010/077","6452360.08","1817611.419","5.535","89.0","83.47","38.15256889","-122.38009371","W12238009N3815256","Tangent"
"77","011/078","6453153.947","1817508.097","4.081","89.24","85.16","38.15229427","-122.37733172","W12237733N3815229","Tangent"
"78","011/079","6453910.778","1817409.602","4.135","89.77","85.63","38.15203242","-122.37469861","W12237469N3815203","Tangent"
"79","011/080","6454668.589","1817311.477","4.748","89.47","84.72","38.15177153","-122.37206211","W12237206N3815177","Tangent"
"80","011/081","6455424.865","1817213.376","5.293","89.31","84.02","38.15151064","-122.36943097","W12236943N3815151","Tangent"
"81","011/082","6456139.393","1817120.086","4.414","89.13","84.72","38.15126243","-122.36694509","W12236694N3815126","Tangent"
"82","011/083","6456825.175","1817153.793","3.485","88.42","84.94","38.15136256","-122.36456095","W12236456N3815136","Tangent"
"83","011/084","6457536.366","1817187.159","4.818","89.37","84.55","38.15146199","-122.36208844","W12236208N3815146","Tangent"
"84","011/085","6458199.51","1817219.019","4.786","89.28","84.49","38.1515567","-122.35978298","W12235978N3815155","Tangent"
"85","012/086","6458882.321","1817251.91","4.568","88.32","83.75","38.15165441","-122.35740913","W12235740N3815165","Tangent"
"86","012/087","6459560.79","1817284.397","4.673","88.84","84.17","38.15175092","-122.35505038","W12235505N3815175","Tangent"
"87","012/088","6460344.885","1817322.377","4.758","88.73","83.97","38.15186358","-122.3523244","W12235232N3815186","Tangent"
"88","012/089","6461130.459","1817360.546","4.715","88.89","84.17","38.15197672","-122.34959328","W12234959N3815197","Tangent"
"89","012/090","6461861.106","1817395.803","4.772","89.18","84.41","38.15208122","-122.3470531","W12234705N3815208","Tangent"
"90","012/091","6462590.846","1817431.195","4.569","94.65","90.08","38.15218602","-122.34451607","W12234451N3815218","Dead End"
"91","012/092","6463291.814","1817465.145","3.964","89.04","85.08","38.15228651","-122.34207907","W12234207N3815228","Dead End"
"92","013/093","6464565.659","1817526.942","7.213","213.91","206.7","38.15246928","-122.33765036","W12233765N3815246","Tangent"
"93","013/094","6465267.372","1817560.647","9.032","194.03","185.0","38.15256896","-122.33521074","W12233521N3815256","Tangent"
"94","013/095","6466417.437","1817616.714","6.881","90.06","83.18","38.15273448","-122.33121235","W12233121N3815273","Dead End"
"95","013/096","6467142.439","1817651.234","6.859","90.55","83.69","38.1528365","-122.32869174","W12232869N3815283","Tangent"
"96","013/097","6467891.646","1817687.554","6.327","89.93","83.6","38.15294364","-122.32608698","W12232608N3815294","Tangent"
"97","013/098","6468639.305","1817723.876","6.064","91.11","85.05","38.15305071","-122.32348759","W12232348N3815305","Tangent"
"98","014/099","6469361.836","1817757.891","6.211","90.52","84.31","38.15315114","-122.32097554","W12232097N3815315","Tangent"
"99","014/100","6470031.407","1817789.967","6.55","90.62","84.07","38.15324569","-122.31864762","W12231864N3815324","Tangent"
"100","014/101","6470757.314","1817825.839","6.445","90.56","84.11","38.15335115","-122.31612385","W12231612N3815335","Tangent"
"101","014/102","6471480.739","1817861.278","6.498","90.42","83.92","38.15345534","-122.31360869","W12231360N3815345","Tangent"
"102","014/103","6472226.431","1817896.559","6.842","90.55","83.71","38.15355925","-122.31101609","W12231101N3815355","Tangent"
"103","014/104","6472975.158","1817932.783","6.595","90.58","83.99","38.15366572","-122.30841295","W12230841N3815366","Dead End"
"104","014/105","6474217.035","1817991.658","10.137","259.19","249.05","38.15383887","-122.3040952","W12230409N3815383","Tangent"
"105","015/106","6476047.214","1818081.183","5.298","262.24","256.94","38.15410134","-122.29773205","W12229773N3815410","Tangent"
"106","015/107","6477869.713","1818169.09","5.322","263.29","257.97","38.15435893","-122.29139553","W12229139N3815435","Tangent"
"107","015/108","6479384.169","1818242.179","5.245","89.41","84.16","38.15457284","-122.28613","W12228613N3815457","Dead End"
"108","015/109","6479628.904","1818253.861","24.748","87.43","62.68","38.15460703","-122.28527909","W12228527N3815460","Tangent"
