sec_no,cable_file_name,from_str,to_str,best_match,arc_wire_type,arc_from_str,arc_to_str
1,3-o_kcmil_7_mhd_copper-light.wir,IGNACIO_SUB,000/003,0.6,CU 3/0 7,IGNACIO,000/008
2,3-o_kcmil_7_mhd_copper-light.wir,000/003,000/006,0.0,,,
3,3-o_kcmil_7_mhd_copper-light.wir,000/006,000/008,0.0,,,
4,3-o_kcmil_7_mhd_copper-light.wir,000/008,000/009,1.0,CU 3/0 7,000/008,010/076
5,3-o_kcmil_7_mhd_copper-light.wir,000/009,002/016,0.0,,,
6,3-o_kcmil_7_mhd_copper-light.wir,002/016,002/019,0.0,,,
7,3-o_kcmil_7_mhd_copper-light.wir,002/019,002/022,0.0,,,
8,3-o_kcmil_7_mhd_copper-light.wir,002/022,003/027,0.0,,,
9,3-o_kcmil_7_mhd_copper-light.wir,003/027,004/030,0.0,,,
10,3-o_kcmil_7_mhd_copper-light.wir,004/030,004/031,0.0,,,
11,3-o_kcmil_7_mhd_copper-light.wir,004/031,006/045,0.0,,,
12,3-o_kcmil_7_mhd_copper-light.wir,006/045,007/052,0.0,,,
13,3-o_kcmil_7_mhd_copper-light.wir,007/052,007/055,0.0,,,
14,3-o_kcmil_7_mhd_copper-light.wir,007/055,007/056,0.0,,,
15,3-o_kcmil_7_mhd_copper-light.wir,007/056,008/061,0.0,,,
16,3-o_kcmil_7_mhd_copper-light.wir,008/061,009/066,0.0,,,
17,3-o_kcmil_7_mhd_copper-light.wir,009/066,009/069,0.0,,,
18,3-o_kcmil_7_mhd_copper-light.wir,009/069,010/076,0.0,,,
19,3-o_kcmil_7_mhd_copper-light.wir,010/076,012/091,1.0,CU 3/0 7,010/076,014/104
20,3-o_kcmil_7_mhd_copper-light.wir,012/091,012/092,0.0,,,
21,3-o_kcmil_7_mhd_copper-light.wir,012/092,013/095,0.0,,,
22,3-o_kcmil_7_mhd_copper-light.wir,013/095,014/104,0.0,,,
23,397.5_kcmil_26-7_acsr_ibis-light.wir,014/104,015/108,1.0,ACSR 397.5 26/7,014/104,015/108
24,3-o_kcmil_7_mhd_copper-light.wir,015/108,015/110,1.0,CU 3/0 7,015/108,017/122
25,3-o_kcmil_7_mhd_copper-light.wir,015/110,016/118,0.0,,,
26,3-o_kcmil_7_mhd_copper-light.wir,016/118,017/122,0.0,,,
27,4_o_awg_7_aac_oxlip-light.wir,017/122,HIGHWAY_SUB,1.0,AAC 4/0 7,017/122,HIGHWAY
28,397.5_kcmil_26-7_acsr_ibis-light.wir,017/122,020/138,1.0,AAC 4/0 7,017/122,HIGHWAY
29,397.5_kcmil_26-7_acsr_ibis-light.wir,020/138,020/138A,0.0,,,
30,397.5_kcmil_26-7_acsr_ibis-light.wir,020/138A,020/138A,0.0,,,
31,397.5_kcmil_26-7_acsr_ibis-light.wir,020/138A,020/139,0.0,,,
32,397.5_kcmil_26-7_acsr_ibis-light.wir,020/139,020/139,0.0,,,
33,397.5_kcmil_26-7_acsr_ibis-light.wir,020/139,020/142,0.0,,,
34,397.5_kcmil_26-7_acsr_ibis-light.wir,020/142,021/145,0.0,,,
35,3-o_kcmil_7_mhd_copper-light.wir,021/145,023/155,1.0,CU 3/0 7,020/145,B017/122
36,3-o_kcmil_7_mhd_copper-light.wir,023/155,B018/128,0.0,,,
37,3-o_kcmil_7_mhd_copper-light.wir,B018/128,B018/123,0.0,,,
38,3-o_kcmil_7_mhd_copper-light.wir,B018/123,B017/122,0.0,,,
39,715.5_kcmil_37_aac_violet-light.wir,B017/122,025/175,1.0,CU 3/0 7,B017/122,017/122
40,3-o_kcmil_7_mhd_copper-light.wir,B017/122,017/122,1.0,CU 3/0 7,B017/122,017/122
41,250_kcmil_19_mhd_copper-light.wir,017/122,019/134,1.0,AAC 4/0 7,017/122,HIGHWAY
42,715.5_kcmil_37_aac_violet-light.wir,025/175,017/125,1.0,CU 250 19,017/125,021/152
43,250_kcmil_19_mhd_copper-light.wir,019/134,020/141,0.0,,,
44,250_kcmil_19_mhd_copper-intermediate.wir,020/141,020/145,0.0,,,
45,250_kcmil_19_mhd_copper-intermediate.wir,020/145,021/152,1.0,CU 3/0 7,020/145,B017/122
46,397.5_kcmil_26-7_acsr_ibis-intermediate.wir,021/152,021/153,1.0,ACSR 397.5 26/7,021/152,025/178
47,397.5_kcmil_26-7_acsr_ibis-intermediate.wir,021/153,022/154,0.0,,,
48,397.5_kcmil_26-7_acsr_ibis-intermediate.wir,022/154,022/156,1.0,CU 3/0 7,020/145,B017/122
49,397.5_kcmil_26-7_acsr_ibis-intermediate.wir,022/156,023/162,0.0,,,
50,397.5_kcmil_26-7_acsr_ibis-light.wir,023/162,024/169,0.0,,,
51,397.5_kcmil_26-7_acsr_ibis-light.wir,024/169,024/171,0.0,,,
52,397.5_kcmil_26-7_acsr_ibis-light.wir,024/171,025/173,0.0,,,
53,397.5_kcmil_26-7_acsr_ibis-light.wir,025/173,025/176,0.0,,,
54,397.5_kcmil_26-7_acsr_ibis-light.wir,025/176,025/177,0.0,,,
55,397.5_kcmil_26-7_acsr_ibis-light.wir,025/177,025/178,1.0,CU 250 19,017/125,021/152
56,397.5_kcmil_26-7_acsr_ibis-light.wir,025/178,025/179,1.0,ACSR 397.5 26/7,025/178,028/198
57,397.5_kcmil_26-7_acsr_ibis-light.wir,025/179,027/189,0.0,,,
58,397.5_kcmil_26-7_acsr_ibis-light.wir,027/189,028/198A,0.0,,,
59,250_kcmil_19_mhd_copper-light.wir,028/198A,029/198,0.0,,,
60,250_kcmil_19_mhd_copper-light.wir,029/198,005/040,1.0,CU 250 19,028/198,A034/241B
61,250_kcmil_19_mhd_copper-light.wir,005/040A,005/040B,0.0,,,
62,250_kcmil_19_mhd_copper-light.wir,005/040B,A034/241B,0.0,,,
63,4-0_kcmil_6-1_acsr_penguin-light.wir,A034/241B,A033/236,1.0,ACSR 4/0 6/1,A034/241B,A034/241
64,2-o_kcmil_7_mhd_copper-light.wir,A033/236,A033/235,0.0,,,
65,2-o_kcmil_7_mhd_copper-light.wir,A033/235,A033/234,0.0,,,
66,2-o_kcmil_7_mhd_copper-light.wir,A033/234,034/237,0.8571428571428571,CU 2/0 7,A034/241,034/241
67,2-o_kcmil_7_mhd_copper-light.wir,034/237,034/238,0.0,,,
68,2-o_kcmil_7_mhd_copper-light.wir,034/238,034/239,0.0,,,
